"airbnbId","title","description","priceOriginal","priceCurrent","rating","reviews","guests","rooms","beds","bathrooms","host","favoriteGuestMark"
"34708887","No se pudo extraer información"
"1158655283502125166","No se pudo extraer información"
"34948859","No se pudo extraer información"
"12435203","No se pudo extraer información"
"1231911253769762072","Descubriendo Santiago | Studio con Estilo","Alojamiento entero: vivienda rentada en Santiago, Chile","$29,177 CLP","$23,341 CLP","4.3","10 reseñas","2 huéspedes","Sin datos de habitaciones","1 cama","1 baño","Andes STR","No"
"979128582038309801","Moderno, 2 dormitorios, 2 Baños, metro Sta Ana","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$29,070 CLP","5.0","27","3 huéspedes","2 habitaciones","2 camas","2 baños","Paloma","Favorito entre huéspedes"
"23063527","Amplio y acogedor dpto. en Centro de Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$22,646 CLP","4.66","127 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Gonzalo","No"
"1343515204398749293","No se pudo extraer información"
"603402544172769377","Bergen Dream 1BR con wifi, estacionamiento y balcón","Alojamiento entero: vivienda rentada en Las Condes, Chile","Sin datos","Sin datos","4.66","47 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Valentina","No"
"1318810772952882067","No se pudo extraer información"
"1215251499722823887","Hermoso monoambiente en Ñuñoa","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","Sin datos","Sin datos","4.87","23","2 huéspedes","1 habitación","1 cama","1 baño","Edgar","Favorito entre huéspedes"
"1170522405217625957","Disfruta Studio Parque Almagro D303","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.31","16 reseñas","2 huéspedes","Sin datos de habitaciones","Sin datos de camas","1 baño","Checkin Chile","No"
"1348593268957228732","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1173931610322939646","Relajate y disfruta de todo Stgo Centro","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.38","21 reseñas","2 huéspedes","Sin datos de habitaciones","1 cama","1 baño","Sin datos","No"
"1313203902397373040","Tu Escape Urbano | La Reina | ¡Vive la Ciudad!","Alojamiento entero: vivienda rentada en La Reina, Chile","Sin datos","Sin datos","Novedad","2 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Andes STR","No"
"1294888788573283028","Ideal Estudio Equipado en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","3.0","3 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Simply HAUS","No"
"1347360283440407667","No se pudo extraer información"
"1265130876499599358","No se pudo extraer información"
"1301608065221357856","HOM I Comodo y de lujo Depto 1D1B 2PAX Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","Novedad","Sin datos","2 huéspedes","1 habitación","1 cama","1 baño","Hom","No"
"27123280","Renovado y Bonito - Ubicación Centralísima","Alojamiento entero: condo en Santiago, Chile","Sin datos","Sin datos","4.86","316","2 huéspedes","1 habitación","1 cama","1 baño","Brian","Favorito entre huéspedes"
"1299316020556722687","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1313186616644729682","No se pudo extraer información"
"685478403669948980","No se pudo extraer información"
"834946223427952138","Apartamento Cómodo NUEVO Santiago Estación Central","Alojamiento entero: vivienda rentada en Estación Central, Chile","Sin datos","$21,038 CLP","4.89","57","4 huéspedes","1 habitación","2 camas","1 baño","Stefania","Favorito entre huéspedes"
"1280444773918686238","No se pudo extraer información"
"1234030182546127017","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1329628525683987170","No se pudo extraer información"
"1072737686071566306","Cómodo y céntrico Estudio","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","Sin datos","Sin datos","4.85","40","2 huéspedes","1 habitación","Sin datos de camas","1 baño","Karla","Favorito entre huéspedes"
