"airbnbId","title","description","priceOriginal","priceCurrent","rating","reviews","guests","rooms","beds","bathrooms","host","favoriteGuestMark"
"29460384","Cómodo Departamento Santiago Con Estacionamiento","Alojamiento entero: vivienda rentada en Santiago, Chile","$31,014 CLP","$27,913 CLP","4.88","294","2 huéspedes","1 habitación","1 cama","1 baño","Mary","Favorito entre huéspedes"
"1259580233206010441","Cómodo departamento en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$31,758 CLP","$26,990 CLP","4.92","25","2 huéspedes","1 habitación","1 cama","1 baño","Aracelis","Favorito entre huéspedes"
"1032000731516357994","Céntrico y lindo dpto.","Alojamiento entero: vivienda rentada en Santiago, Chile","$33,350 CLP","$28,000 CLP","4.8","61 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Sin datos","No"
"37368587","Diseño e  inmejorable ubicación en Santiago Centro","Alojamiento entero: vivienda rentada en Santiago, Chile","$37,519 CLP","$27,764 CLP","4.9","250","2 huéspedes","1 habitación","1 cama","1 baño","Brian","Favorito entre huéspedes"
"1086125496485078528","América sector bellas artes","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$32,500 CLP","4.69","158 reseñas","3 huéspedes","1 habitación","1 cama","1 baño","Sin datos","No"
"802349578128904674","Céntrico y acogedor departamento (con lavadora)","Alojamiento entero: apartamento con servicios incluidos en Santiago, Chile","$29,058 CLP","$22,956 CLP","4.78","55 reseñas","2 huéspedes","1 habitación","2 camas","1 baño","Veronica","No"
"1057456768236933508","Al corazón de Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.86","22","2 huéspedes","1 habitación","Sin datos de camas","1 baño","Sin datos","Favorito entre huéspedes"
"1220499190103548408","Studio Estación Central, terminales-airport","Alojamiento entero: vivienda rentada en Santiago, Chile","$26,847 CLP","$21,478 CLP","4.78","18 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Julz","No"
"1284925820445031931","Apartamento Estudio Nuevo y muy céntrico.","Alojamiento entero: vivienda rentada en Las Condes, Chile","Sin datos","Sin datos","4.86","7","2 huéspedes","1 habitación","1 cama","1 baño","Sebastian","Favorito entre huéspedes"
"1137962501677114462","disfruta tus días o semanas con nosotros","Alojamiento entero: condo en Santiago, Chile","Sin datos","Sin datos","4.84","31","2 huéspedes","1 habitación","1 cama","1 baño","Mercedes","Favorito entre huéspedes"
"1031664440072984611","Apartamento Alameda con Estacionamiento","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","5.0","41","2 huéspedes","1 habitación","1 cama","1 baño","Omar","Favorito entre huéspedes"
"990761899447344202","Santiago Centro Metro Moneda","Habitación en Santiago, Chile","Sin datos","Sin datos","4.96","27","Sin datos de huéspedes","Sin datos de habitaciones","1 cama doble","baño compartido","Quédate con Sebastian","Favorito entre huéspedes"
"6291022","Acogedor estudio en el centro de Stgo","Alojamiento entero: vivienda rentada en Santiago, Chile","$38,946 CLP","$30,072 CLP","4.53","782 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Patricia","No"
"1108863042197665905","La mejor comodidad a solo pasos de Barrio Italia","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","$40,664 CLP","$27,225 CLP","4.64","36 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Andes STR","No"
"1347487136127865873","Excelente ubicación y moderno","Alojamiento entero: vivienda rentada en Santiago, Chile","$32,000 CLP","$25,600 CLP","Novedad","Sin datos","2 huéspedes","1 habitación","2 camas","1 baño","Carolina Troncoso","No"
"12435203","Departamento en Barrio Brasil Centro de Santiago","Alojamiento entero: condo en Santiago, Chile","$24,065 CLP","$19,550 CLP","4.4","83 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Cristian","No"
"52533486","Cómodo, acogedor y céntrico apartamento St Lucia Hill 11","Alojamiento entero: vivienda rentada en Santiago, Chile","$37,196 CLP","$23,490 CLP","4.84","134","4 huéspedes","1 habitación","2 camas","1 baño","Oliver","Favorito entre huéspedes"
"575380949737744118","Departamento San Martín Urbano","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$30,000 CLP","4.9","167","2 huéspedes","1 habitación","1 cama","1 baño","Alexis Ulises","Favorito entre huéspedes"
"916169142367040100","Studio premium en Ñuñoa","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","$42,138 CLP","$33,710 CLP","4.9","61","2 huéspedes","1 habitación","1 cama","1 baño","Aline","Favorito entre huéspedes"
"730014831607898865","614- Metro Moneda + aire acond + balcon","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$33,999 CLP","4.75","102 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Victor Hugo","No"
"1195728540228113042","A pasos de providencia!","Alojamiento entero: vivienda rentada en Providencia, Chile","Sin datos","$29,000 CLP","Novedad","Sin datos","3 huéspedes","1 habitación","2 camas","1 baño","Stephanie","No"
"971898961742901930","Depto 5 Nuevo Ñuñoa Metro Irarrazabal L3 L5","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","Sin datos","$36,000 CLP","4.92","150","3 huéspedes","1 habitación","2 camas","1 baño","Benjamín","Favorito entre huéspedes"
"1310833694828761667","HT | Espectacular Departamento en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$31,395 CLP","Novedad","1 reseña","2 huéspedes","1 habitación","1 cama","1 baño","HomeTravellers","No"
"1238443831673924696","19- Apartamento en Santiago Centro","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$28,000 CLP","4.96","23","2 huéspedes","1 habitación","1 cama","1 baño","Marcelo","Favorito entre huéspedes"
"1068899625117559633","Tranquilo Depto. Movistar Arena","Alojamiento entero: vivienda rentada en Santiago, Chile","$32,448 CLP","$23,000 CLP","4.83","54 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Ricardo","No"
"788948355046130089","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
