"airbnbId","title","description","priceOriginal","priceCurrent","rating","reviews","guests","rooms","beds","bathrooms","host","favoriteGuestMark"
"53881669","VIVIENDA COMPLETA A RENTAR! Ideal Santiago Centro.","Alojamiento entero: condo en Santiago, Chile","$31,000 CLP","$27,900 CLP","4.93","42","2 huéspedes","1 habitación","2 camas","2 baños","Alejandro","Favorito entre huéspedes"
"929515922768562362","Agustinas-MacIver, súper central","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$20,663 CLP","4.61","62 reseñas","3 huéspedes","1 habitación","1 cama","1 baño","Gonzalo","No"
"1112453093223901405","Vive II Turismo y Gastronomía","Alojamiento entero: vivienda rentada en Recoleta, Chile","Sin datos","$24,344 CLP","4.76","70 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Victor Ismael","No"
"924828559724031111","Simpático y recién inaugurado!","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$26,600 CLP","4.87","52","2 huéspedes","1 habitación","1 cama","1 baño","Gonzalo","Favorito entre huéspedes"
"1302822970539560298","Moderno y Nuevo Depto. Con Wifi-Piscina-Quincho","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$24,463 CLP","Novedad","1 reseña","2 huéspedes","1 habitación","1 cama","1 baño","Carlos Andres","No"
"1320930226947838622","HT | Espectacular Departamento en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$31,395 CLP","$28,256 CLP","Novedad","1 reseña","2 huéspedes","1 habitación","1 cama","1 baño","HomeTravellers","No"
"1109567227034053094","Cutie Rentapart Santa Lucía","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$20,855 CLP","4.54","28 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Soledad","No"
"929190840586094239","Departamento Buena Vista","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$20,544 CLP","4.62","66 reseñas","2 huéspedes","1 habitación","2 camas","1 baño","Sebastian","No"
"1000271144732093906","Apartamento completo M. Montt","Alojamiento entero: vivienda rentada en Providencia, Chile","$34,500 CLP","$31,050 CLP","4.59","17 reseñas","2 huéspedes","1 habitación","1 cama","2 baños","Apart Rent","No"
"1278299417334217720","Departamento Moderno y Cómodo en el Centro","Alojamiento entero: vivienda rentada en Santiago, Chile","$25,150 CLP","$20,120 CLP","Aún no hay reseñas","Sin datos","2 huéspedes","1 habitación","1 cama","1 baño","Simply HAUS","No"
"1346373470114943100","HOM I Acogedor y Renovado Depto 1D1B 2PAX Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$34,876 CLP","$28,417 CLP","Novedad","Sin datos","2 huéspedes","1 habitación","1 cama","1 baño","Hom","No"
"1238340742401022929","Céntrico y acogedor cerca Movistar Arena","Alojamiento entero: vivienda rentada en Santiago, Chile","$23,750 CLP","$21,375 CLP","4.79","14 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Felipe","No"
"1171405918109852294","Apartamento Nórdico en corazón de Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$44,416 CLP","$39,441 CLP","5.0","3 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Julio Andres","No"
"979128582038309801","Moderno, 2 dormitorios, 2 Baños, metro Sta Ana","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$29,070 CLP","5.0","27","3 huéspedes","2 habitaciones","2 camas","2 baños","Paloma","Favorito entre huéspedes"
"856509266366068763","Departamento en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$27,000 CLP","$24,300 CLP","4.83","54 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Priscilla","No"
"22739873","Cómodo, acogedor y céntrico apartamento Forestal Park 239","Alojamiento entero: vivienda rentada en Recoleta, Chile","$33,541 CLP","$26,365 CLP","4.71","181 reseñas","4 huéspedes","1 habitación","2 camas","1 baño","Oliver","No"
"1348604196591806269","HOM I Cerca al Metro Parque Almagro Depto 1D1B","Alojamiento entero: vivienda rentada en Santiago, Chile","$32,292 CLP","$25,834 CLP","Novedad","Sin datos","2 huéspedes","1 habitación","1 cama","1 baño","Hom","No"
"1199277279846417565","Elegante departamento","Alojamiento entero: vivienda rentada en Santiago, Chile","$35,211 CLP","$29,944 CLP","4.95","20","2 huéspedes","1 habitación","1 cama","1 baño","Yaigres","Favorito entre huéspedes"
"42116165","Studio Remodelado/ Los Leones/ Estacionamiento","Alojamiento entero: vivienda rentada en Providencia, Chile","$62,743 CLP","$35,904 CLP","4.79","118","2 huéspedes","1 habitación","1 cama","1 baño","Pablo","Favorito entre huéspedes"
"603402544172769377","Bergen Dream 1BR con wifi, estacionamiento y balcón","Alojamiento entero: vivienda rentada en Las Condes, Chile","$45,970 CLP","$39,074 CLP","4.66","47 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Valentina","No"
"1162455886719623285","Cómodo y Equipado Departamento en San Miguel","Alojamiento entero: vivienda rentada en San Miguel, Chile","$31,246 CLP","$28,122 CLP","4.97","30","3 huéspedes","1 habitación","2 camas","1 baño","Daniela","Favorito entre huéspedes"
"50749665","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1300150968487397998","HT | Acogedor y a pasos del Metro 3PAX","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","Sin datos","$43,700 CLP","5.0","3 reseñas","3 huéspedes","2 habitaciones","2 camas","1 baño","HomeTravellers","No"
"53500115","Depto nuevo equipado con insuperable conectividad","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","$48,774 CLP","$36,580 CLP","4.9","49","2 huéspedes","1 habitación","1 cama","1 baño","Ignacio","Favorito entre huéspedes"
"1256739340264858197","Cómodo depto Santiago Metro Sta Lucía/ U de Chile","Alojamiento entero: vivienda rentada en Santiago, Chile","$29,808 CLP","$24,777 CLP","4.89","18","2 huéspedes","1 habitación","1 cama","1 baño","Claudia","Favorito entre huéspedes"
"889198294960547974","Departamento Studio Santiago, 2 huéspedes (#3)","Alojamiento entero: vivienda rentada en Santiago, Chile","$35,000 CLP","$30,800 CLP","4.88","41","2 huéspedes","1 habitación","2 camas","1 baño","Javier","Favorito entre huéspedes"
"1313006949716164729","HOM I Nuevo y Confortable Depto 2PAX Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$36,897 CLP","$30,065 CLP","Novedad","2 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Hom","No"
"1115343783229544478","Cómodo Studio Metro Plaza Egaña / Ñuñoa","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","$38,893 CLP","$35,003 CLP","4.79","24 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Lucas","No"
"1186096056172752669","Depto. céntrico con decoración moderna y elegante","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$24,553 CLP","5.0","3 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Simply HAUS","No"
"1313203902397373040","No se pudo extraer información"
